english_name,primary_type,secondary_type,hp,attack,defense,description 
Golbat,poison,flying,75,80,70,"It loves to drink other creatures’ blood. It’s said that if it finds others of its kind going hungry, it sometimes shares the blood it’s gathered." 
Oddish,grass,poison,45,50,55,"If exposed to moonlight, it starts to move. It roams far and wide at night to scatter its seeds." 
Gloom,grass,poison,60,65,70,Its pistils exude an incredibly foul odor. The horrid stench can cause fainting at a distance of 1.25 miles. 
Vileplume,grass,poison,75,80,85,"It has the world’s largest petals. With every step, the petals shake out heavy clouds of toxic pollen." 
Paras,bug,grass,35,70,55,Burrows under the ground to gnaw on tree roots. The mushrooms on its back absorb most of the nutrition. 
Parasect,bug,grass,60,95,80,The bug host is drained of energy by the mushroom on its back. The mushroom appears to do all the thinking. 
Venonat,bug,poison,60,55,50,"Its large eyes act as radar. In a bright place, you can see that they are clusters of many tiny eyes." 
Venomoth,bug,poison,70,65,60,The powdery scales on its wings are hard to remove from skin. They also contain poison that leaks out on contact. 
Diglett,ground,ground,10,55,25,"If a Diglett digs through a field, it leaves the soil perfectly tilled and ideal for planting crops." 
Dugtrio,ground,ground,35,100,50,A team of Diglett triplets. It triggers huge earthquakes by burrowing 60 miles underground. 
Meowth,normal,dark,40,45,35,"It loves to collect shiny things. If it’s in a good mood, it might even let its Trainer have a look at its hoard of treasures." 
Persian,normal,dark,65,70,60,"Getting this prideful Pokémon to warm up to you takes a lot of effort, and it will claw at you the moment it gets annoyed." 
Psyduck,water,Blank,50,52,48,"Psyduck is constantly beset by headaches. If the Pokémon lets its strange power erupt, apparently the pain subsides for a while." 
Golduck,water,Blank,80,82,78,"This Pokémon lives in gently flowing rivers. It paddles through the water with its long limbs, putting its graceful swimming skills on display." 
Mankey,fighting,Blank,40,80,35,An agile Pokémon that lives in trees. It angers easily and will not hesitate to attack anything. 
Primeape,fighting,Blank,65,105,60,It stops being angry only when nobody else is around. To view this moment is very difficult. 
Growlithe,fire,Blank,55,70,45,It has a brave and trustworthy nature. It fearlessly stands up to bigger and stronger foes. 
Arcanine,fire,Blank,90,110,80,"The sight of it running over 6,200 miles in a single day and night has captivated many people." 
Poliwag,water,Blank,40,50,40,"For Poliwag, swimming is easier than walking. The swirl pattern on its belly is actually part of the Pokémon’s innards showing through the skin." 
Poliwhirl,water,Blank,65,65,65,Staring at the swirl on its belly causes drowsiness. This trait of Poliwhirl’s has been used in place of lullabies to get children to go to sleep. 
Poliwrath,water,fighting,90,95,95,"Its body is solid muscle. When swimming through cold seas, Poliwrath uses its impressive arms to smash through drift ice and plow forward." 
Abra,psychic,Blank,25,20,15,This Pokémon uses its psychic powers while it sleeps. The contents of Abra’s dreams affect the powers that the Pokémon wields. 
Kadabra,psychic,Blank,40,35,30,"Using its psychic power, Kadabra levitates as it sleeps. It uses its springy tail as a pillow." 
Alakazam,psychic,Blank,55,50,45,"It has an incredibly high level of intelligence. Some say that Alakazam remembers everything that ever happens to it, from birth till death." 
Machop,fighting,Blank,70,80,50,"Its whole body is composed of muscles. Even though it’s the size of a human child, it can hurl 100 grown-ups." 
Machoke,fighting,Blank,80,100,70,"Its muscular body is so powerful, it must wear a power-save belt to be able to regulate its motions." 
Machamp,fighting,Blank,90,130,80,It quickly swings its four arms to rock its opponents with ceaseless punches and chops from all angles. 
Bellsprout,grass,poison,50,75,35,Prefers hot and humid places. It ensnares tiny bugs with its vines and devours them. 
Weepinbell,grass,poison,65,90,50,"When hungry, it swallows anything that moves. Its hapless prey is dissolved by strong acids." 
Victreebel,grass,poison,80,105,65,"Lures prey with the sweet aroma of honey. Swallowed whole, the prey is dissolved in a day, bones and all." 
Tentacool,water,poison,40,40,35,Tentacool is not a particularly strong swimmer. It drifts across the surface of shallow seas as it searches for prey. 
Tentacruel,water,poison,80,70,65,"When the red orbs on Tentacruel’s head glow brightly, watch out. The Pokémon is about to fire off a burst of ultrasonic waves." 
Geodude,rock,ground,40,80,100,"Commonly found near mountain trails and the like. If you step on one by accident, it gets angry." 
Graveler,rock,ground,55,95,115,"Often seen rolling down mountain trails. Obstacles are just things to roll straight over, not avoid." 
Golem,rock,ground,80,120,130,"Once it sheds its skin, its body turns tender and whitish. Its hide hardens when it’s exposed to air." 
Ponyta,fire,psychic,50,85,55,"It can’t run properly when it’s newly born. As it races around with others of its kind, its legs grow stronger." 
Rapidash,fire,psychic,65,100,70,"This Pokémon can be seen galloping through fields at speeds of up to 150 mph, its fiery mane fluttering in the wind." 
Slowpoke,water,psychic,90,65,65,"Slow-witted and oblivious, this Pokémon won’t feel any pain if its tail gets eaten. It won’t notice when its tail grows back, either." 
Slowbro,water,psychic,95,75,110,Slowpoke became Slowbro when a Shellder bit on to its tail. Sweet flavors seeping from the tail make the Shellder feel as if its life is a dream. 
Magnemite,electric,steel,25,35,70,"At times, Magnemite runs out of electricity and ends up on the ground. If you give batteries to a grounded Magnemite, it’ll start moving again." 
Magneton,electric,steel,50,60,95,This Pokémon is three Magnemite that have linked together. Magneton sends out powerful radio waves to study its surroundings. 
Farfetch'd,normal,flying,52,90,55,"The stalk this Pokémon carries in its wings serves as a sword to cut down opponents. In a dire situation, the stalk can also serve as food." 
Doduo,normal,flying,35,85,45,"Its short wings make flying difficult. Instead, this Pokémon runs at high speed on developed legs." 
Dodrio,normal,flying,60,110,70,One of Doduo’s two heads splits to form a unique species. It runs close to 40 mph in prairies. 
Seel,water,Blank,65,45,55,Loves freezing-cold conditions. Relishes swimming in a frigid climate of around 14 degrees Fahrenheit. 
Dewgong,water,ice,90,70,80,"Its entire body is a snowy white. Unharmed by even intense cold, it swims powerfully in icy waters." 
Grimer,poison,poison,80,80,50,Made of congealed sludge. It smells too putrid to touch. Even weeds won’t grow in its path. 
Muk,poison,poison,105,105,75,"Smells so awful, it can cause fainting. Through degeneration of its nose, it lost its sense of smell." 
Shellder,water,Blank,30,65,100,It swims facing backward by opening and closing its two-piece shell. It is surprisingly fast. 
Cloyster,water,ice,50,95,180,"Its shell is extremely hard. It cannot be shattered, even with a bomb. The shell opens only when it is attacking." 
Gastly,ghost,poison,30,35,30,"Born from gases, anyone would faint if engulfed by its gaseous body, which contains poison." 
Haunter,ghost,poison,45,50,45,"Its tongue is made of gas. If licked, its victim starts shaking constantly until death eventually comes." 
Gengar,ghost,poison,60,65,60,"On the night of a full moon, if shadows move on their own and laugh, it must be Gengar’s doing." 
Onix,rock,ground,35,45,160,"As it digs through the ground, it absorbs many hard objects. This is what makes its body so solid." 
Drowzee,psychic,Blank,60,48,45,"If you sleep by it all the time, it will sometimes show you dreams it had eaten in the past." 
Hypno,psychic,Blank,85,73,70,Avoid eye contact if you come across one. It will try to put you to sleep by using its pendulum. 
Krabby,water,Blank,30,105,90,It can be found near the sea. The large pincers grow back if they are torn out of their sockets. 
Kingler,water,Blank,55,130,115,"Its large and hard pincer has 10,000-horsepower strength. However, being so big, it is unwieldy to move." 
